2011 Old Faithful Geyser Eruptions

All times are local time (MST or MDT)

  Time and Date     Interval
  
01/25/11 01:34:51,  1:36:48
01/25/11 03:05:03,  1:30:12
01/25/11 05:01:39,  1:56:36
01/25/11 06:15:21,  1:13:42
01/25/11 07:49:57,  1:34:36
01/25/11 09:16:51,  1:26:54
01/25/11 10:56:57,  1:40:06
01/25/11 12:31:33,  1:34:36
01/25/11 13:36:27,  1:04:54
01/25/11 15:26:27,  1:50:00
01/25/11 16:51:09,  1:24:42
01/25/11 18:20:15,  1:29:06
01/25/11 19:59:15,  1:39:00
01/25/11 21:37:09,  1:37:54
01/25/11 23:07:21,  1:30:12
01/26/11 00:41:57,  1:34:36
01/26/11 02:14:21,  1:32:24
01/26/11 03:56:39,  1:42:18
01/26/11 05:24:39,  1:28:00
01/26/11 07:03:39,  1:39:00
01/26/11 08:41:33,  1:37:54
01/26/11 10:19:27,  1:37:54
01/26/11 11:48:33,  1:29:06
01/26/11 13:19:51,  1:31:18
01/26/11 14:52:15,  1:32:24
01/26/11 15:56:03,  1:03:48
01/26/11 17:35:03,  1:39:00
01/26/11 18:59:45,  1:24:42
01/26/11 20:36:33,  1:36:48
01/26/11 21:59:03,  1:22:30
01/26/11 23:34:45,  1:35:42
01/27/11 01:01:39,  1:26:54
01/27/11 02:42:51,  1:41:12
01/27/11 04:08:39,  1:25:48
01/27/11 05:35:33,  1:26:54
01/27/11 07:01:21,  1:25:48
01/27/11 08:33:45,  1:32:24
01/27/11 10:13:51,  1:40:06
01/27/11 11:56:09,  1:42:18
01/27/11 13:39:33,  1:43:24
01/27/11 14:41:09,  1:01:36
01/27/11 16:22:21,  1:41:12
01/27/11 17:55:51,  1:33:30
01/27/11 19:23:51,  1:28:00
01/27/11 21:05:03,  1:41:12
01/27/11 22:38:33,  1:33:30
01/28/11 00:12:03,  1:33:30
01/28/11 01:49:57,  1:37:54
01/28/11 03:19:03,  1:29:06
01/28/11 04:55:51,  1:36:48
01/28/11 06:28:15,  1:32:24
01/28/11 07:59:33,  1:31:18
01/28/11 09:33:03,  1:33:30
01/28/11 11:02:09,  1:29:06
01/28/11 12:33:27,  1:31:18
01/28/11 14:09:09,  1:35:42
01/28/11 15:41:33,  1:32:24
01/28/11 17:08:27,  1:26:54
01/28/11 18:44:09,  1:35:42
01/28/11 20:18:45,  1:34:36
01/28/11 21:59:57,  1:41:12
01/28/11 23:34:33,  1:34:36
01/29/11 01:02:33,  1:28:00
01/29/11 02:45:57,  1:43:24
01/29/11 04:17:15,  1:31:18
01/29/11 05:51:51,  1:34:36
01/29/11 07:34:09,  1:42:18
01/29/11 08:57:45,  1:23:36
01/29/11 10:56:33,  1:58:48
01/29/11 11:53:45,  0:57:12
01/29/11 13:28:21,  1:34:36
01/29/11 15:10:39,  1:42:18
01/29/11 16:41:57,  1:31:18
01/29/11 17:51:15,  1:09:18
01/29/11 19:25:51,  1:34:36
01/29/11 20:56:03,  1:30:12
01/29/11 22:31:45,  1:35:42
01/29/11 23:57:33,  1:25:48
01/30/11 01:33:15,  1:35:42
